#           k/h    P           
 0.33786651E-01 0.16883777E+05
 0.34164149E-01 0.16680248E+05
 0.34545869E-01 0.16477738E+05
 0.34931853E-01 0.16276417E+05
 0.35322148E-01 0.16076432E+05
 0.35716806E-01 0.15877949E+05
 0.36115870E-01 0.15681116E+05
 0.36519397E-01 0.15486084E+05
 0.36927432E-01 0.15293000E+05
 0.37340023E-01 0.15102007E+05
 0.37757225E-01 0.14913245E+05
 0.38179088E-01 0.14726850E+05
 0.38605668E-01 0.14542952E+05
 0.39037012E-01 0.14361674E+05
 0.39473172E-01 0.14183130E+05
 0.39914209E-01 0.14007440E+05
 0.40360175E-01 0.13834709E+05
 0.40811121E-01 0.13665036E+05
 0.41267108E-01 0.13498513E+05
 0.41728187E-01 0.13335220E+05
 0.42194419E-01 0.13175239E+05
 0.42665862E-01 0.13018633E+05
 0.43142568E-01 0.12865461E+05
 0.43624602E-01 0.12715775E+05
 0.44112023E-01 0.12569610E+05
 0.44604890E-01 0.12426996E+05
 0.45103267E-01 0.12287951E+05
 0.45607205E-01 0.12152480E+05
 0.46116780E-01 0.12020585E+05
 0.46632044E-01 0.11892241E+05
 0.47153067E-01 0.11767423E+05
 0.47679912E-01 0.11646091E+05
 0.48212644E-01 0.11528198E+05
 0.48751328E-01 0.11413669E+05
 0.49296029E-01 0.11302432E+05
 0.49846817E-01 0.11194395E+05
 0.50403759E-01 0.11089448E+05
 0.50966922E-01 0.10987481E+05
 0.51536381E-01 0.10888360E+05
 0.52112199E-01 0.10791938E+05
 0.52694455E-01 0.10698058E+05
 0.53283211E-01 0.10606549E+05
 0.53878549E-01 0.10517230E+05
 0.54480538E-01 0.10429899E+05
 0.55089254E-01 0.10344353E+05
 0.55704769E-01 0.10260365E+05
 0.56327160E-01 0.10177713E+05
 0.57222035E-01 0.10062274E+05
 0.58116909E-01 0.99583857E+04
 0.59011783E-01 0.98486426E+04
 0.59906658E-01 0.97404766E+04
 0.60801532E-01 0.96331797E+04
 0.61696403E-01 0.95261055E+04
 0.62591277E-01 0.94186709E+04
 0.63486151E-01 0.93103516E+04
 0.64381026E-01 0.92006963E+04
 0.65275900E-01 0.90893184E+04
 0.66170774E-01 0.89759004E+04
 0.67065649E-01 0.88601943E+04
 0.67960523E-01 0.87420244E+04
 0.68855397E-01 0.86212734E+04
 0.69750272E-01 0.84978965E+04
 0.70645146E-01 0.83719082E+04
 0.71540013E-01 0.82433789E+04
 0.72434887E-01 0.81124395E+04
 0.73329762E-01 0.79792295E+04
 0.74224636E-01 0.78440444E+04
 0.75119510E-01 0.77071113E+04
 0.76014385E-01 0.75687285E+04
 0.76909259E-01 0.74292241E+04
 0.77804133E-01 0.72889487E+04
 0.78699008E-01 0.71482681E+04
 0.79593882E-01 0.70075640E+04
 0.80488756E-01 0.68672231E+04
 0.81383631E-01 0.67276333E+04
 0.82278505E-01 0.65891748E+04
 0.83173379E-01 0.64522295E+04
 0.84068254E-01 0.63171553E+04
 0.84963121E-01 0.61843013E+04
 0.85857995E-01 0.60539966E+04
 0.86752869E-01 0.59265435E+04
 0.87647744E-01 0.58022236E+04
 0.88542618E-01 0.56812876E+04
