#           k/h    P           
 0.28772387E+00 0.38115685E+02
 0.29150966E+00 0.36187187E+02
 0.29534525E+00 0.34404163E+02
 0.29923132E+00 0.32738426E+02
 0.30316851E+00 0.31161341E+02
 0.30715752E+00 0.29647495E+02
 0.31119901E+00 0.28177338E+02
 0.31529367E+00 0.26738977E+02
 0.31944221E+00 0.25328798E+02
 0.32364532E+00 0.23950459E+02
 0.32790375E+00 0.22613077E+02
 0.33221823E+00 0.21328390E+02
 0.33658946E+00 0.20108076E+02
 0.34101820E+00 0.18961128E+02
 0.34550521E+00 0.17892193E+02
 0.35005128E+00 0.16900871E+02
 0.35465714E+00 0.15981972E+02
 0.35932362E+00 0.15126678E+02
 0.36405149E+00 0.14324273E+02
 0.36884156E+00 0.13564033E+02
 0.37369469E+00 0.12836940E+02
 0.37861165E+00 0.12136911E+02
 0.38359332E+00 0.11461275E+02
 0.38864052E+00 0.10810422E+02
 0.39375412E+00 0.10186929E+02
 0.39893502E+00 0.95941887E+01
 0.40418410E+00 0.90351515E+01
 0.40950224E+00 0.85112972E+01
 0.41489035E+00 0.80221634E+01
 0.42034936E+00 0.75654120E+01
 0.42588019E+00 0.71374092E+01
 0.43148381E+00 0.67340159E+01
 0.43716112E+00 0.63514690E+01
 0.44291317E+00 0.59870157E+01
 0.44874090E+00 0.56391835E+01
 0.45464531E+00 0.53076954E+01
 0.46062738E+00 0.49930129E+01
 0.46668819E+00 0.46957817E+01
 0.47282872E+00 0.44163103E+01
 0.47905007E+00 0.41542645E+01
 0.48535326E+00 0.39086206E+01
 0.49173939E+00 0.36778810E+01
 0.49820957E+00 0.34604132E+01
 0.50476485E+00 0.32547846E+01
 0.51140642E+00 0.30599926E+01
 0.51813537E+00 0.28754919E+01
 0.52495283E+00 0.27010801E+01
 0.53185999E+00 0.25366712E+01
 0.53885806E+00 0.23820949E+01
 0.54594821E+00 0.22369654E+01
 0.55313164E+00 0.21006877E+01
 0.56040955E+00 0.19725461E+01
 0.56778324E+00 0.18518491E+01
 0.57525396E+00 0.17380284E+01
 0.58282298E+00 0.16306843E+01
 0.59049159E+00 0.15295490E+01
 0.59826112E+00 0.14344101E+01
 0.60613286E+00 0.13450317E+01
 0.61410820E+00 0.12611173E+01
 0.62218845E+00 0.11823153E+01
 0.63037503E+00 0.11082624E+01
 0.67884243E+00 0.76521808E+00
 0.73103625E+00 0.52557558E+00
 0.78724313E+00 0.35906640E+00
 0.84777158E+00 0.24404852E+00
 0.91295379E+00 0.16505191E+00
 0.98314768E+00 0.11109309E+00
 0.10587386E+01 0.74426301E-01
 0.11401414E+01 0.49637347E-01
 0.12278029E+01 0.32961909E-01
 0.13222045E+01 0.21796424E-01
 0.14238642E+01 0.14354984E-01
 0.15333402E+01 0.94171884E-02
 0.16512336E+01 0.61546392E-02
 0.17781912E+01 0.40077963E-02
 0.19149102E+01 0.26006883E-02
 0.20621412E+01 0.16819102E-02
 0.22206922E+01 0.10841907E-02
 0.23914335E+01 0.69670263E-03
 0.25753026E+01 0.44635474E-03
 0.27733088E+01 0.28513730E-03
 0.29865391E+01 0.18164270E-03
 0.32161639E+01 0.11540358E-03
 0.34634435E+01 0.73131792E-04
 0.37297359E+01 0.46230165E-04
 0.40165024E+01 0.29155652E-04
 0.43253174E+01 0.18346032E-04
 0.46578765E+01 0.11519366E-04
 0.50160046E+01 0.72181497E-05
 0.54016681E+01 0.45141455E-05
 0.58169837E+01 0.28178526E-05
 0.62642317E+01 0.17558825E-05
 0.67458668E+01 0.10923069E-05
 0.72645335E+01 0.67842791E-06
 0.78230786E+01 0.42073569E-06
 0.84245682E+01 0.26055326E-06
 0.90723047E+01 0.16113782E-06
 0.97698431E+01 0.99528030E-07
 0.10521012E+02 0.61400314E-07
 0.11329937E+02 0.37835743E-07
 0.12201057E+02 0.23289925E-07
 0.13139154E+02 0.14321729E-07
 0.14149379E+02 0.87985015E-08
 0.15237276E+02 0.54004667E-08
 0.16408819E+02 0.33119769E-08
 0.17670437E+02 0.20295312E-08
 0.19029055E+02 0.12427323E-08
 0.20492134E+02 0.76041401E-09
 0.22067705E+02 0.46497750E-09
 0.23764414E+02 0.28414379E-09
 0.25591579E+02 0.17353347E-09
 0.27559227E+02 0.10592026E-09
 0.29678162E+02 0.64615972E-10
 0.31960014E+02 0.39398131E-10
 0.34417309E+02 0.24010134E-10
 0.37063538E+02 0.14625329E-10
 0.39913227E+02 0.89046453E-11
 0.42982018E+02 0.54191669E-11
 0.46286758E+02 0.32965317E-11
 0.49845589E+02 0.20044435E-11
 0.53678047E+02 0.12182748E-11
 0.57805168E+02 0.74013229E-12
 0.62249607E+02 0.44945685E-12
 0.67035767E+02 0.27281974E-12
 0.72189919E+02 0.16552668E-12
 0.77740349E+02 0.10038330E-12
 0.83717545E+02 0.60848089E-13
 0.90154297E+02 0.36864663E-13
 0.97085953E+02 0.22322349E-13
 0.10455056E+03 0.13509025E-13
