#           k/h    P           
 0.45103267E-01 0.47535537E+04
 0.45607205E-01 0.47021880E+04
 0.46116780E-01 0.46521870E+04
 0.46632044E-01 0.46035459E+04
 0.47153067E-01 0.45562549E+04
 0.47679912E-01 0.45102988E+04
 0.48212644E-01 0.44656562E+04
 0.48751328E-01 0.44223047E+04
 0.49296029E-01 0.43802129E+04
 0.49846817E-01 0.43393472E+04
 0.50403759E-01 0.42996670E+04
 0.50966922E-01 0.42611265E+04
 0.51536381E-01 0.42236768E+04
 0.52112199E-01 0.41872612E+04
 0.52694455E-01 0.41518208E+04
 0.53283211E-01 0.41172876E+04
 0.53878549E-01 0.40835925E+04
 0.54480538E-01 0.40506584E+04
 0.55089254E-01 0.40184053E+04
 0.55704769E-01 0.39867488E+04
 0.56327160E-01 0.39555979E+04
 0.57222035E-01 0.39120952E+04
 0.58116909E-01 0.38730391E+04
 0.59011783E-01 0.38316655E+04
 0.59906658E-01 0.37908652E+04
 0.60801532E-01 0.37503638E+04
 0.61696403E-01 0.37099092E+04
 0.62591277E-01 0.36692742E+04
 0.63486151E-01 0.36282571E+04
 0.64381026E-01 0.35866799E+04
 0.65275900E-01 0.35443940E+04
 0.66170774E-01 0.35012742E+04
 0.67065649E-01 0.34572244E+04
 0.67960523E-01 0.34121748E+04
 0.68855397E-01 0.33660789E+04
 0.69750272E-01 0.33189199E+04
 0.70645146E-01 0.32707012E+04
 0.71540013E-01 0.32214521E+04
 0.72434887E-01 0.31712219E+04
 0.73329762E-01 0.31200659E+04
 0.74224636E-01 0.30680981E+04
 0.75119510E-01 0.30154080E+04
 0.76014385E-01 0.29621121E+04
 0.76909259E-01 0.29083391E+04
 0.77804133E-01 0.28542251E+04
 0.78699008E-01 0.27999160E+04
 0.79593882E-01 0.27455591E+04
 0.80488756E-01 0.26913083E+04
 0.81383631E-01 0.26373152E+04
 0.82278505E-01 0.25837307E+04
 0.83173379E-01 0.25307036E+04
 0.84068254E-01 0.24783774E+04
 0.84963121E-01 0.24268889E+04
 0.85857995E-01 0.23763684E+04
 0.86752869E-01 0.23269360E+04
 0.87647744E-01 0.22787034E+04
 0.88542618E-01 0.22317705E+04
 0.89437492E-01 0.21862253E+04
 0.90332367E-01 0.21421492E+04
 0.91227241E-01 0.20996089E+04
 0.92122115E-01 0.20586597E+04
 0.93016990E-01 0.20193451E+04
 0.93911864E-01 0.19816967E+04
 0.94806738E-01 0.19457341E+04
 0.95701613E-01 0.19114674E+04
 0.96596487E-01 0.18788949E+04
 0.97491361E-01 0.18480054E+04
 0.98386228E-01 0.18187770E+04
 0.99281102E-01 0.17911809E+04
 0.10017598E+00 0.17651783E+04
 0.10107085E+00 0.17407225E+04
 0.10196573E+00 0.17177603E+04
 0.10286060E+00 0.16962317E+04
 0.10375547E+00 0.16760709E+04
 0.10465035E+00 0.16572063E+04
 0.10554522E+00 0.16395629E+04
 0.10644010E+00 0.16230599E+04
 0.10733497E+00 0.16076151E+04
 0.10822985E+00 0.15931423E+04
 0.10912472E+00 0.15795537E+04
 0.11001959E+00 0.15667599E+04
 0.11091446E+00 0.15546704E+04
 0.11180934E+00 0.15431958E+04
 0.11270421E+00 0.15322456E+04
 0.11359908E+00 0.15217312E+04
 0.11449396E+00 0.15115652E+04
 0.11538883E+00 0.15016632E+04
 0.11628371E+00 0.14919431E+04
 0.11717858E+00 0.14823262E+04
 0.11807346E+00 0.14727380E+04
 0.11896833E+00 0.14631085E+04
 0.11986320E+00 0.14533721E+04
 0.12075808E+00 0.14434690E+04
 0.12165295E+00 0.14333451E+04
 0.12254783E+00 0.14229521E+04
 0.12344270E+00 0.14122479E+04
 0.12433757E+00 0.14011971E+04
 0.12523244E+00 0.13897706E+04
 0.12612732E+00 0.13779465E+04
 0.12702219E+00 0.13657089E+04
 0.12791707E+00 0.13530486E+04
 0.12881194E+00 0.13399629E+04
 0.12970681E+00 0.13264562E+04
 0.13060169E+00 0.13125370E+04
 0.13149656E+00 0.12982213E+04
 0.13239144E+00 0.12835293E+04
 0.13328631E+00 0.12684858E+04
 0.13418119E+00 0.12531215E+04
 0.13507606E+00 0.12374688E+04
 0.13597094E+00 0.12215657E+04
 0.13686581E+00 0.12054512E+04
 0.13776068E+00 0.11891676E+04
 0.13865556E+00 0.11727592E+04
 0.13955043E+00 0.11562704E+04
 0.14044531E+00 0.11397472E+04
 0.14134018E+00 0.11232356E+04
 0.14223506E+00 0.11067809E+04
 0.14312993E+00 0.10904280E+04
 0.14402479E+00 0.10742206E+04
 0.14491966E+00 0.10582003E+04
 0.14581454E+00 0.10424081E+04
 0.14670941E+00 0.10268810E+04
 0.14760429E+00 0.10116544E+04
 0.14849916E+00 0.99676123E+03
 0.14939404E+00 0.98223096E+03
 0.15028891E+00 0.96808990E+03
 0.15118378E+00 0.95436163E+03
 0.15207866E+00 0.94106653E+03
 0.15297353E+00 0.92822076E+03
 0.15386841E+00 0.91583813E+03
 0.15476328E+00 0.90392908E+03
 0.15565816E+00 0.89250055E+03
 0.15655303E+00 0.88155573E+03
 0.15744790E+00 0.87109607E+03
 0.15834278E+00 0.86111890E+03
 0.15923765E+00 0.85161969E+03
 0.16013253E+00 0.84259015E+03
 0.16102740E+00 0.83402008E+03
 0.16192228E+00 0.82589685E+03
 0.16281715E+00 0.81820587E+03
 0.16371202E+00 0.81092969E+03
 0.16460690E+00 0.80404993E+03
 0.16550177E+00 0.79754572E+03
 0.16639665E+00 0.79139557E+03
 0.16729152E+00 0.78557599E+03
 0.16818640E+00 0.78006244E+03
 0.16908127E+00 0.77483038E+03
 0.16997615E+00 0.76985327E+03
 0.17087100E+00 0.76510498E+03
 0.17176588E+00 0.76055884E+03
 0.17266075E+00 0.75618799E+03
 0.17355563E+00 0.75196576E+03
 0.17445050E+00 0.74786584E+03
 0.17534538E+00 0.74386194E+03
 0.17624025E+00 0.73992920E+03
 0.17713512E+00 0.73604279E+03
 0.17803000E+00 0.73217969E+03
 0.17892487E+00 0.72831708E+03
 0.17981975E+00 0.72443427E+03
 0.18071462E+00 0.72051166E+03
 0.18160950E+00 0.71653101E+03
 0.18250437E+00 0.71247632E+03
 0.18339925E+00 0.70833258E+03
 0.18429412E+00 0.70408710E+03
 0.18518899E+00 0.69972913E+03
 0.18608387E+00 0.69524915E+03
 0.18697874E+00 0.69064056E+03
 0.18787362E+00 0.68589795E+03
 0.18876849E+00 0.68101807E+03
 0.18966337E+00 0.67599951E+03
 0.19055824E+00 0.67084277E+03
 0.19145311E+00 0.66555005E+03
 0.19234799E+00 0.66012512E+03
 0.19324286E+00 0.65457367E+03
 0.19413774E+00 0.64890234E+03
 0.19503261E+00 0.64311969E+03
 0.19592749E+00 0.63723511E+03
 0.19682235E+00 0.63125934E+03
 0.19771722E+00 0.62520349E+03
 0.19861209E+00 0.61908026E+03
 0.19950697E+00 0.61290271E+03
 0.20040184E+00 0.60668408E+03
 0.20129672E+00 0.60043823E+03
 0.20219159E+00 0.59417932E+03
 0.20308647E+00 0.58792145E+03
 0.20398134E+00 0.58167871E+03
 0.20487621E+00 0.57546460E+03
 0.20577109E+00 0.56929315E+03
 0.20666596E+00 0.56317706E+03
 0.20756084E+00 0.55712909E+03
 0.20845571E+00 0.55116113E+03
 0.20935059E+00 0.54528455E+03
 0.21024546E+00 0.53950970E+03
 0.21301180E+00 0.52239905E+03
 0.21581456E+00 0.50637582E+03
 0.21865419E+00 0.49163562E+03
 0.22153117E+00 0.47828638E+03
 0.22444601E+00 0.46634256E+03
 0.22739920E+00 0.45572662E+03
 0.23039125E+00 0.44627606E+03
 0.23342268E+00 0.43775848E+03
 0.23649399E+00 0.42989099E+03
 0.23960570E+00 0.42236533E+03
 0.24275836E+00 0.41487579E+03
 0.24595250E+00 0.40714804E+03
 0.24918868E+00 0.39896625E+03
 0.25246742E+00 0.39019376E+03
 0.25578931E+00 0.38078690E+03
 0.25915492E+00 0.37079602E+03
 0.26256481E+00 0.36035767E+03
 0.26601955E+00 0.34967343E+03
 0.26951978E+00 0.33898410E+03
 0.27306601E+00 0.32853714E+03
 0.27665895E+00 0.31855722E+03
 0.28029916E+00 0.30921854E+03
 0.28398722E+00 0.30062668E+03
 0.28772387E+00 0.29280862E+03
 0.29150966E+00 0.28571307E+03
 0.29534525E+00 0.27922067E+03
 0.29923132E+00 0.27316260E+03
 0.30316851E+00 0.26734540E+03
 0.30715752E+00 0.26157935E+03
 0.31119901E+00 0.25570538E+03
 0.31529367E+00 0.24961754E+03
 0.31944221E+00 0.24327686E+03
 0.32364532E+00 0.23671271E+03
 0.32790375E+00 0.23001396E+03
 0.33221823E+00 0.22330846E+03
 0.33658946E+00 0.21673799E+03
 0.34101820E+00 0.21043179E+03
 0.34550521E+00 0.20448372E+03
 0.35005128E+00 0.19893776E+03
 0.35465714E+00 0.19378320E+03
 0.35932362E+00 0.18896089E+03
 0.36405149E+00 0.18437762E+03
 0.36884156E+00 0.17992691E+03
 0.37369469E+00 0.17551126E+03
 0.37861165E+00 0.17106154E+03
 0.38359332E+00 0.16654887E+03
 0.38864052E+00 0.16198705E+03
 0.39375412E+00 0.15742491E+03
 0.39893502E+00 0.15293082E+03
 0.40418410E+00 0.14857381E+03
 0.40950224E+00 0.14440634E+03
 0.41489035E+00 0.14045229E+03
 0.42034936E+00 0.13670370E+03
 0.42588019E+00 0.13312555E+03
 0.43148381E+00 0.12966750E+03
 0.43716112E+00 0.12627872E+03
 0.44291317E+00 0.12292144E+03
 0.44874090E+00 0.11957972E+03
 0.45464531E+00 0.11626078E+03
 0.46062738E+00 0.11298947E+03
 0.46668819E+00 0.10979769E+03
 0.47282872E+00 0.10671287E+03
 0.47905007E+00 0.10374913E+03
 0.48535326E+00 0.10090400E+03
 0.49173939E+00 0.98160835E+02
 0.49820957E+00 0.95496002E+02
 0.50476485E+00 0.92887421E+02
 0.51140642E+00 0.90321854E+02
 0.51813537E+00 0.87797661E+02
 0.52495283E+00 0.85323097E+02
 0.53185999E+00 0.82910957E+02
 0.53885806E+00 0.80572105E+02
 0.54594821E+00 0.78310974E+02
 0.55313164E+00 0.76124016E+02
 0.56040955E+00 0.74002014E+02
 0.56778324E+00 0.71934418E+02
 0.57525396E+00 0.69913567E+02
 0.58282298E+00 0.67936989E+02
 0.59049159E+00 0.66006996E+02
 0.59826112E+00 0.64128029E+02
 0.60613286E+00 0.62303581E+02
 0.61410820E+00 0.60533974E+02
 0.62218845E+00 0.58816269E+02
 0.63037503E+00 0.57145802E+02
 0.67884243E+00 0.48469025E+02
 0.73103625E+00 0.41060940E+02
 0.78724313E+00 0.34738663E+02
 0.84777158E+00 0.29352198E+02
 0.91295379E+00 0.24770943E+02
 0.98314768E+00 0.20880840E+02
 0.10587386E+01 0.17581518E+02
 0.11401414E+01 0.14787223E+02
 0.12278029E+01 0.12424175E+02
 0.13222045E+01 0.10427879E+02
 0.14238642E+01 0.87437649E+01
 0.15333402E+01 0.73245902E+01
 0.16512336E+01 0.61300750E+01
 0.17781912E+01 0.51257563E+01
 0.19149102E+01 0.42822709E+01
 0.20621412E+01 0.35745573E+01
 0.22206922E+01 0.29813795E+01
 0.23914335E+01 0.24846635E+01
 0.25753026E+01 0.20691168E+01
 0.27733088E+01 0.17217889E+01
 0.29865391E+01 0.14317303E+01
 0.32161639E+01 0.11897018E+01
 0.34634435E+01 0.98791635E+00
 0.37297359E+01 0.81981552E+00
 0.40165024E+01 0.67988318E+00
 0.43253174E+01 0.56348443E+00
 0.46578765E+01 0.46673161E+00
 0.50160046E+01 0.38636529E+00
 0.54016681E+01 0.31965482E+00
 0.58169837E+01 0.26431563E+00
 0.62642317E+01 0.21843922E+00
 0.67458668E+01 0.18043077E+00
 0.72645335E+01 0.14895947E+00
 0.78230786E+01 0.12291647E+00
 0.84245682E+01 0.10137751E+00
 0.90723047E+01 0.83573341E-01
 0.97698431E+01 0.68864405E-01
 0.10521012E+02 0.56718715E-01
 0.11329937E+02 0.46694756E-01
 0.12201057E+02 0.38425930E-01
 0.13139154E+02 0.31608157E-01
 0.14149379E+02 0.25989462E-01
 0.15237276E+02 0.21361016E-01
 0.16408819E+02 0.17550007E-01
 0.17670437E+02 0.14413402E-01
 0.19029055E+02 0.11832951E-01
 0.20492134E+02 0.97109107E-02
 0.22067705E+02 0.79665370E-02
 0.23764414E+02 0.65331864E-02
 0.25591579E+02 0.53558466E-02
 0.27559227E+02 0.43891519E-02
 0.29678162E+02 0.35957100E-02
 0.31960014E+02 0.29446986E-02
 0.34417309E+02 0.24107390E-02
 0.37063538E+02 0.19729366E-02
 0.39913227E+02 0.16140974E-02
 0.42982018E+02 0.13200757E-02
 0.46286758E+02 0.10792434E-02
 0.49845589E+02 0.88204193E-03
 0.53678047E+02 0.72061917E-03
 0.57805168E+02 0.58852526E-03
 0.62249607E+02 0.48046594E-03
 0.67035767E+02 0.39209597E-03
 0.72189919E+02 0.31985060E-03
 0.77740349E+02 0.26080641E-03
 0.83717545E+02 0.21256677E-03
 0.90154297E+02 0.17316735E-03
 0.97085953E+02 0.14099904E-03
 0.10455056E+03 0.11474363E-03
