#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.505342E-02   0.110440E+08   0.110410E+08   0.443020E+05   0.438825E+05   0.108084E+08   0.110362E+08   0.110435E+08   0.110362E+08  -0.509209E+00   0.953696E+07   0.953689E+07   0.379313E+01
   0.510988E-02   0.110255E+08   0.110224E+08   0.427446E+05   0.421843E+05   0.107858E+08   0.110175E+08   0.110250E+08   0.110176E+08  -0.508349E+00   0.952087E+07   0.952080E+07   0.382499E+01
   0.516698E-02   0.110068E+08   0.110036E+08   0.416824E+05   0.408988E+05   0.107629E+08   0.109987E+08   0.110062E+08   0.109987E+08  -0.507478E+00   0.950459E+07   0.950452E+07   0.385706E+01
   0.522471E-02   0.109878E+08   0.109846E+08   0.411436E+05   0.400511E+05   0.107398E+08   0.109796E+08   0.109873E+08   0.109796E+08  -0.506598E+00   0.948813E+07   0.948806E+07   0.388937E+01
   0.528308E-02   0.109687E+08   0.109654E+08   0.410694E+05   0.395907E+05   0.107164E+08   0.109603E+08   0.109681E+08   0.109603E+08  -0.505708E+00   0.947148E+07   0.947140E+07   0.392191E+01
   0.534211E-02   0.109493E+08   0.109460E+08   0.413191E+05   0.393998E+05   0.106927E+08   0.109408E+08   0.109487E+08   0.109408E+08  -0.504807E+00   0.945463E+07   0.945456E+07   0.395468E+01
   0.540180E-02   0.109297E+08   0.109263E+08   0.416922E+05   0.393150E+05   0.106688E+08   0.109211E+08   0.109291E+08   0.109211E+08  -0.503896E+00   0.943760E+07   0.943752E+07   0.398768E+01
   0.546216E-02   0.109099E+08   0.109064E+08   0.419630E+05   0.391580E+05   0.106446E+08   0.109011E+08   0.109093E+08   0.109011E+08  -0.502975E+00   0.942037E+07   0.942030E+07   0.402091E+01
   0.552318E-02   0.108899E+08   0.108863E+08   0.419222E+05   0.387979E+05   0.106201E+08   0.108809E+08   0.108893E+08   0.108809E+08  -0.502044E+00   0.940295E+07   0.940288E+07   0.405437E+01
   0.558490E-02   0.108696E+08   0.108660E+08   0.414182E+05   0.381919E+05   0.105954E+08   0.108605E+08   0.108690E+08   0.108605E+08  -0.501102E+00   0.938534E+07   0.938526E+07   0.408806E+01
   0.564730E-02   0.108491E+08   0.108454E+08   0.403894E+05   0.373432E+05   0.105704E+08   0.108399E+08   0.108485E+08   0.108399E+08  -0.500150E+00   0.936753E+07   0.936744E+07   0.412199E+01
   0.571039E-02   0.108284E+08   0.108246E+08   0.388795E+05   0.362998E+05   0.105451E+08   0.108190E+08   0.108278E+08   0.108190E+08  -0.499187E+00   0.934952E+07   0.934944E+07   0.415615E+01
   0.577420E-02   0.108075E+08   0.108036E+08   0.370317E+05   0.351510E+05   0.105195E+08   0.107979E+08   0.108068E+08   0.107979E+08  -0.498213E+00   0.933131E+07   0.933122E+07   0.419054E+01
   0.583871E-02   0.107863E+08   0.107823E+08   0.350611E+05   0.340118E+05   0.104936E+08   0.107766E+08   0.107856E+08   0.107766E+08  -0.497229E+00   0.931290E+07   0.931281E+07   0.422516E+01
   0.590395E-02   0.107649E+08   0.107609E+08   0.332100E+05   0.330001E+05   0.104675E+08   0.107550E+08   0.107642E+08   0.107550E+08  -0.496234E+00   0.929429E+07   0.929420E+07   0.426002E+01
   0.596991E-02   0.107433E+08   0.107391E+08   0.316946E+05   0.322094E+05   0.104411E+08   0.107332E+08   0.107426E+08   0.107332E+08  -0.495228E+00   0.927548E+07   0.927539E+07   0.429511E+01
   0.603662E-02   0.107214E+08   0.107172E+08   0.282375E+05   0.282374E+05   0.104144E+08   0.107112E+08   0.107207E+08   0.107112E+08  -0.494211E+00   0.925646E+07   0.925637E+07   0.433043E+01
   0.610406E-02   0.106993E+08   0.106950E+08   0.275593E+05   0.275592E+05   0.103874E+08   0.106889E+08   0.106985E+08   0.106889E+08  -0.493183E+00   0.923724E+07   0.923715E+07   0.436598E+01
   0.617226E-02   0.106769E+08   0.106725E+08   0.268966E+05   0.268965E+05   0.103601E+08   0.106664E+08   0.106762E+08   0.106664E+08  -0.492144E+00   0.921781E+07   0.921772E+07   0.440177E+01
   0.624123E-02   0.106543E+08   0.106499E+08   0.262491E+05   0.262490E+05   0.103326E+08   0.106436E+08   0.106536E+08   0.106436E+08  -0.491094E+00   0.919818E+07   0.919808E+07   0.443779E+01
   0.631096E-02   0.106315E+08   0.106269E+08   0.256166E+05   0.256165E+05   0.103047E+08   0.106206E+08   0.106307E+08   0.106206E+08  -0.490033E+00   0.917833E+07   0.917824E+07   0.447404E+01
