#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.997547E-02   0.119462E+08   0.119364E+08   0.816730E+04   0.102513E+05   0.906692E+07   0.119229E+08   0.119447E+08   0.119229E+08  -0.423908E+00   0.906286E+07   0.906271E+07   0.445439E+01
   0.100869E-01   0.119079E+08   0.118979E+08   0.773489E+04   0.990592E+04   0.900728E+07   0.118844E+08   0.119064E+08   0.118844E+08  -0.422540E+00   0.903367E+07   0.903352E+07   0.448663E+01
   0.101996E-01   0.118693E+08   0.118591E+08   0.774701E+04   0.982982E+04   0.894741E+07   0.118455E+08   0.118677E+08   0.118455E+08  -0.421160E+00   0.900424E+07   0.900408E+07   0.451894E+01
   0.103136E-01   0.118303E+08   0.118200E+08   0.809989E+04   0.987286E+04   0.888733E+07   0.118064E+08   0.118287E+08   0.118064E+08  -0.419768E+00   0.897457E+07   0.897441E+07   0.455133E+01
   0.104288E-01   0.117911E+08   0.117805E+08   0.839304E+04   0.979556E+04   0.882704E+07   0.117670E+08   0.117895E+08   0.117670E+08  -0.418366E+00   0.894467E+07   0.894450E+07   0.458377E+01
   0.105453E-01   0.117515E+08   0.117407E+08   0.822033E+04   0.946442E+04   0.876654E+07   0.117272E+08   0.117499E+08   0.117272E+08  -0.416952E+00   0.891452E+07   0.891436E+07   0.461627E+01
   0.106632E-01   0.117116E+08   0.117007E+08   0.749019E+04   0.896454E+04   0.870585E+07   0.116871E+08   0.117099E+08   0.116871E+08  -0.415528E+00   0.888413E+07   0.888397E+07   0.464882E+01
   0.107823E-01   0.116714E+08   0.116602E+08   0.652091E+04   0.852886E+04   0.864495E+07   0.116467E+08   0.116697E+08   0.116467E+08  -0.414091E+00   0.885350E+07   0.885333E+07   0.468142E+01
   0.109028E-01   0.116309E+08   0.116195E+08   0.581710E+04   0.833646E+04   0.858386E+07   0.116060E+08   0.116291E+08   0.116060E+08  -0.412644E+00   0.882263E+07   0.882246E+07   0.471405E+01
   0.110246E-01   0.115901E+08   0.115784E+08   0.569016E+04   0.835274E+04   0.852257E+07   0.115650E+08   0.115883E+08   0.115650E+08  -0.411185E+00   0.879152E+07   0.879134E+07   0.474670E+01
   0.111478E-01   0.115489E+08   0.115370E+08   0.602718E+04   0.835896E+04   0.846109E+07   0.115236E+08   0.115470E+08   0.115236E+08  -0.409714E+00   0.876016E+07   0.875998E+07   0.477938E+01
