#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.566022E-02   0.175622E+08   0.175587E+08   0.323897E+04   0.192595E+05   0.155630E+08   0.175465E+08   0.175616E+08   0.175465E+08  -0.415901E+00   0.922474E+07   0.922471E+07   0.199084E+01
   0.572346E-02   0.175309E+08   0.175273E+08   0.411652E+04   0.190270E+05   0.155091E+08   0.175150E+08   0.175303E+08   0.175150E+08  -0.415155E+00   0.920823E+07   0.920820E+07   0.200734E+01
   0.578741E-02   0.174993E+08   0.174956E+08   0.428537E+04   0.184853E+05   0.154548E+08   0.174832E+08   0.174987E+08   0.174832E+08  -0.414402E+00   0.919156E+07   0.919152E+07   0.202395E+01
   0.585207E-02   0.174673E+08   0.174636E+08   0.375483E+04   0.177410E+05   0.154000E+08   0.174511E+08   0.174668E+08   0.174511E+08  -0.413641E+00   0.917471E+07   0.917467E+07   0.204068E+01
   0.591746E-02   0.174351E+08   0.174313E+08   0.275733E+04   0.169728E+05   0.153448E+08   0.174186E+08   0.174345E+08   0.174186E+08  -0.412872E+00   0.915769E+07   0.915765E+07   0.205752E+01
   0.598357E-02   0.174025E+08   0.173986E+08   0.166309E+04   0.163738E+05   0.152891E+08   0.173859E+08   0.174019E+08   0.173859E+08  -0.412095E+00   0.914050E+07   0.914046E+07   0.207448E+01
   0.605043E-02   0.173696E+08   0.173657E+08   0.844795E+03   0.160796E+05   0.152329E+08   0.173528E+08   0.173690E+08   0.173528E+08  -0.411310E+00   0.912313E+07   0.912310E+07   0.209155E+01
   0.611803E-02   0.173364E+08   0.173323E+08   0.541003E+03   0.161120E+05   0.151763E+08   0.173193E+08   0.173357E+08   0.173193E+08  -0.410518E+00   0.910560E+07   0.910556E+07   0.210874E+01
   0.618639E-02   0.173028E+08   0.172987E+08   0.770037E+03   0.163622E+05   0.151192E+08   0.172856E+08   0.173022E+08   0.172856E+08  -0.409718E+00   0.908789E+07   0.908785E+07   0.212603E+01
   0.625551E-02   0.172689E+08   0.172647E+08   0.132996E+04   0.166264E+05   0.150617E+08   0.172515E+08   0.172682E+08   0.172515E+08  -0.408910E+00   0.907000E+07   0.906996E+07   0.214345E+01
   0.632540E-02   0.172347E+08   0.172304E+08   0.188746E+04   0.166853E+05   0.150037E+08   0.172171E+08   0.172340E+08   0.172171E+08  -0.408094E+00   0.905194E+07   0.905190E+07   0.216098E+01
   0.639608E-02   0.172001E+08   0.171957E+08   0.212204E+04   0.163959E+05   0.149453E+08   0.171823E+08   0.171994E+08   0.171823E+08  -0.407270E+00   0.903370E+07   0.903366E+07   0.217862E+01
   0.646754E-02   0.171652E+08   0.171607E+08   0.186622E+04   0.157593E+05   0.148864E+08   0.171472E+08   0.171645E+08   0.171472E+08  -0.406438E+00   0.901528E+07   0.901524E+07   0.219637E+01
   0.653980E-02   0.171299E+08   0.171254E+08   0.118079E+04   0.149273E+05   0.148270E+08   0.171117E+08   0.171292E+08   0.171118E+08  -0.405597E+00   0.899669E+07   0.899665E+07   0.221424E+01
